iter	Passed	Remaining
0	1	1066
1	1	706
2	1	547
3	1	488
4	2	439
5	2	408
6	2	387
7	3	374
8	3	365
9	3	355
10	3	344
11	4	334
12	4	327
13	4	319
14	4	312
15	5	308
16	5	302
17	5	297
18	5	296
19	6	297
20	6	294
21	6	291
22	6	290
23	7	289
24	7	286
25	7	285
26	7	286
27	8	282
28	8	280
29	8	279
30	8	276
31	9	275
32	9	274
33	9	272
34	10	286
35	10	284
36	10	282
37	11	283
38	11	282
39	11	281
40	11	280
41	12	280
42	12	279
43	12	276
44	12	275
45	13	274
46	13	273
47	13	271
48	13	270
49	14	269
50	14	268
51	14	267
52	14	267
53	15	267
54	15	265
55	15	265
56	16	265
57	16	263
58	16	262
59	16	261
60	16	260
61	17	259
62	17	259
63	17	258
64	17	257
65	18	257
66	18	256
67	18	256
68	18	255
69	19	254
70	19	254
71	19	253
72	19	253
73	20	252
74	20	252
75	20	251
76	20	251
77	21	250
78	21	250
79	21	249
80	21	249
81	22	248
82	22	246
83	22	245
84	22	245
85	23	244
86	23	244
87	23	243
88	23	243
89	24	242
90	24	242
91	24	241
92	24	241
93	25	241
94	25	240
95	25	240
96	25	239
97	26	239
98	26	239
99	26	239
100	26	238
101	27	237
102	27	237
103	27	236
104	27	236
105	27	235
106	28	235
107	28	235
108	28	235
109	29	235
110	29	235
111	29	235
112	29	235
113	30	235
114	30	235
115	30	234
116	31	234
117	31	234
118	31	234
119	31	233
120	32	233
121	32	233
122	32	233
123	33	233
124	33	232
125	33	232
126	33	232
127	34	231
128	34	231
129	34	231
130	34	230
131	35	230
132	35	230
133	35	230
134	35	230
135	36	230
136	36	230
137	36	229
138	37	229
139	37	229
140	37	229
141	37	228
142	38	228
143	38	228
144	38	227
145	38	227
146	39	226
147	39	226
148	39	225
149	39	225
150	40	225
151	40	225
152	40	224
153	40	224
154	41	224
155	41	223
156	41	223
157	41	222
158	42	222
159	42	222
160	42	221
161	42	221
162	43	221
163	43	220
164	43	220
165	43	220
166	44	219
167	44	219
168	44	219
169	44	218
170	45	218
171	45	218
172	45	217
173	45	217
174	46	217
175	46	216
176	46	216
177	46	216
178	47	216
179	47	215
180	47	215
181	47	215
182	48	215
183	48	214
184	48	214
185	48	214
186	49	213
187	49	213
188	49	213
189	50	213
190	50	212
191	50	212
192	50	211
193	50	211
194	51	211
195	51	210
196	51	210
197	51	209
198	52	209
199	52	209
200	52	209
201	52	209
202	53	208
203	53	208
204	53	208
205	54	208
206	54	208
207	54	207
208	54	207
209	55	206
210	55	206
211	55	206
212	55	205
213	56	205
214	56	205
215	56	205
216	56	204
217	57	204
218	57	204
219	57	204
220	57	203
221	58	203
222	58	203
223	58	202
224	58	202
225	58	202
226	59	201
227	59	201
228	59	201
229	59	200
230	60	200
231	60	200
232	60	200
233	61	200
234	61	200
235	61	199
236	62	199
237	62	199
238	62	198
239	62	198
240	62	198
241	63	198
242	63	197
243	63	197
244	64	197
245	64	196
246	64	196
247	64	196
248	65	196
249	65	196
250	65	195
251	65	195
252	66	195
253	66	195
254	66	194
255	67	194
256	67	194
257	67	194
258	67	194
259	68	193
260	68	193
261	68	193
262	68	193
263	69	192
264	69	192
265	69	192
266	69	192
267	70	191
268	70	191
269	70	191
270	70	190
271	71	190
272	71	190
273	71	190
274	72	189
275	72	189
276	72	189
277	72	188
278	73	188
279	73	188
280	73	188
